Date,Open,High,Low,Close
09/25/2024,"143.24","144.85","142.91","144.75"
09/24/2024,"143.61","144.68","143.12","143.23"
09/23/2024,"143.82","144.45","143.17","143.61"
09/20/2024,"142.63","144.50","141.74","143.92"
09/19/2024,"142.29","143.95","141.90","142.63"
09/18/2024,"142.41","142.70","140.45","142.29"
09/17/2024,"140.61","142.47","140.33","142.42"
09/16/2024,"140.85","140.93","139.58","140.61"
09/13/2024,"141.82","141.87","140.29","140.83"
09/12/2024,"142.36","143.04","141.74","141.82"
09/11/2024,"142.45","142.55","140.71","142.37"
09/10/2024,"143.18","143.71","142.20","142.46"
09/09/2024,"142.33","143.80","141.96","143.17"
09/06/2024,"143.45","144.58","141.77","142.31"
09/05/2024,"143.74","144.23","142.86","143.45"
09/04/2024,"145.48","145.61","143.71","143.74"
09/03/2024,"146.92","147.26","145.10","145.48"
09/02/2024,"146.17","147.17","145.78","146.92"
08/30/2024,"144.99","146.26","144.66","146.18"
08/29/2024,"144.58","145.56","144.24","144.99"
08/28/2024,"143.99","145.05","143.69","144.59"
08/27/2024,"144.56","145.18","143.92","143.95"
08/26/2024,"144.37","144.66","143.44","144.52"
08/23/2024,"146.29","146.49","144.05","144.37"
08/22/2024,"145.27","146.53","144.85","146.30"
08/21/2024,"145.27","146.66","144.46","145.28"
08/20/2024,"146.61","147.34","145.20","145.27"
08/19/2024,"147.65","148.05","145.19","146.60"
08/16/2024,"149.29","149.35","147.57","147.61"
08/15/2024,"147.34","149.39","147.06","149.30"
08/14/2024,"146.83","147.58","146.07","147.35"
08/13/2024,"147.20","147.94","146.60","146.83"
08/12/2024,"146.67","148.23","146.47","147.20"
08/09/2024,"147.22","147.76","146.28","146.62"
08/08/2024,"146.69","147.55","145.43","147.23"
08/07/2024,"144.34","147.89","144.31","146.69"
08/06/2024,"144.17","146.36","143.65","144.33"
08/05/2024,"146.60","146.67","141.69","144.18"
08/02/2024,"149.38","149.77","146.42","146.55"
08/01/2024,"149.98","150.89","148.51","149.37"
