Date,Open,High,Low,Close
04/26/2024,"0.9318","0.9369","0.9298","0.9351"
04/25/2024,"0.9346","0.9365","0.9311","0.9319"
04/24/2024,"0.9345","0.9365","0.9332","0.9345"
04/23/2024,"0.9387","0.9400","0.9335","0.9344"
04/22/2024,"0.9371","0.9413","0.9370","0.9386"
04/19/2024,"0.9395","0.9425","0.9364","0.9385"
04/18/2024,"0.9370","0.9397","0.9352","0.9395"
04/17/2024,"0.9417","0.9435","0.9363","0.9369"
04/16/2024,"0.9410","0.9433","0.9385","0.9418"
04/15/2024,"0.9370","0.9416","0.9370","0.9412"
04/12/2024,"0.9321","0.9414","0.9318","0.9397"
04/11/2024,"0.9306","0.9347","0.9295","0.9322"
04/10/2024,"0.9211","0.9321","0.9202","0.9307"
04/09/2024,"0.9209","0.9221","0.9186","0.9211"
04/08/2024,"0.9216","0.9242","0.9205","0.9209"
04/05/2024,"0.9227","0.9267","0.9217","0.9226"
04/04/2024,"0.9231","0.9233","0.9193","0.9227"
04/03/2024,"0.9285","0.9291","0.9226","0.9229"
04/02/2024,"0.9307","0.9325","0.9276","0.9285"
04/01/2024,"0.9258","0.9320","0.9258","0.9308"
03/29/2024,"0.9268","0.9288","0.9253","0.9264"
03/28/2024,"0.9234","0.9281","0.9234","0.9270"
03/27/2024,"0.9233","0.9251","0.9225","0.9236"
03/26/2024,"0.9226","0.9239","0.9203","0.9233"
03/25/2024,"0.9205","0.9258","0.9205","0.9226"
03/22/2024,"0.9207","0.9258","0.9200","0.9252"
03/21/2024,"0.9155","0.9212","0.9137","0.9207"
03/20/2024,"0.9203","0.9228","0.9153","0.9156"
03/19/2024,"0.9197","0.9230","0.9192","0.9203"
03/18/2024,"0.9183","0.9204","0.9167","0.9197"
03/15/2024,"0.9188","0.9198","0.9173","0.9184"
03/14/2024,"0.9136","0.9191","0.9127","0.9189"
03/13/2024,"0.9152","0.9158","0.9120","0.9133"
03/12/2024,"0.9153","0.9172","0.9137","0.9150"
03/11/2024,"0.9137","0.9162","0.9133","0.9152"
03/08/2024,"0.9135","0.9158","0.9106","0.9141"
03/07/2024,"0.9175","0.9202","0.9132","0.9133"
03/06/2024,"0.9209","0.9224","0.9160","0.9176"
03/05/2024,"0.9211","0.9224","0.9194","0.9209"
03/04/2024,"0.9212","0.9227","0.9202","0.9212"
03/01/2024,"0.9255","0.9261","0.9220","0.9225"
02/29/2024,"0.9230","0.9263","0.9210","0.9254"
02/28/2024,"0.9221","0.9263","0.9217","0.9226"
02/27/2024,"0.9217","0.9232","0.9202","0.9220"
02/26/2024,"0.9227","0.9249","0.9206","0.9214"
02/23/2024,"0.9238","0.9249","0.9224","0.9240"
02/22/2024,"0.9242","0.9257","0.9182","0.9238"
02/21/2024,"0.9253","0.9269","0.9237","0.9243"
02/20/2024,"0.9278","0.9293","0.9224","0.9252"
02/19/2024,"0.9280","0.9292","0.9267","0.9275"
02/16/2024,"0.9284","0.9318","0.9267","0.9279"
02/15/2024,"0.9323","0.9325","0.9270","0.9282"
02/14/2024,"0.9338","0.9351","0.9314","0.9322"
02/13/2024,"0.9283","0.9346","0.9255","0.9339"
02/12/2024,"0.9276","0.9297","0.9253","0.9283"
